user_id,recency,total_trips,total_spend,avg_spend,avg_surge,total_tip,avg_tip,avg_rating_given,loyalty_status,city,avg_distance,avg_duration,active_days
R00000,26,25,366.05,14.642000000000001,1.0959999999999999,4.03,0.1612,5.0,Bronze,Nairobi,3.9455721697553905,30.32,336
R00001,6,14,180.53,12.895,1.0714285714285714,0.76,0.054285714285714284,4.7,Bronze,Nairobi,4.056644816461105,28.642857142857142,346
R00002,15,24,378.99,15.79125,1.1916666666666667,5.21,0.21708333333333332,4.2,Bronze,Lagos,4.53311570748435,31.541666666666668,298
R00003,62,9,121.47,13.496666666666666,1.1555555555555557,0.87,0.09666666666666666,4.9,Bronze,Nairobi,4.837392046149506,32.55555555555556,285
R00004,13,16,268.43,16.776875,1.2625,9.38,0.58625,3.9,Silver,Lagos,4.677325618426719,36.125,326
R00005,3,19,274.42,14.443157894736842,1.068421052631579,3.63,0.19105263157894736,5.0,Bronze,Lagos,4.014367148748552,30.42105263157895,347
R00006,68,14,199.01,14.215,1.1285714285714286,15.63,1.1164285714285715,4.4,Gold,Lagos,4.0428242668340415,31.5,296
R00007,20,19,366.09000000000003,19.267894736842106,1.1842105263157894,18.07,0.9510526315789474,4.9,Bronze,Nairobi,4.318518705457651,37.31578947368421,329
R00008,7,19,272.18,14.325263157894737,1.068421052631579,7.09,0.3731578947368421,5.0,Bronze,Nairobi,4.196013614082612,37.68421052631579,342
R00009,81,14,253.57,18.112142857142857,1.3785714285714286,2.91,0.20785714285714288,4.6,Bronze,Lagos,4.946061677417373,33.92857142857143,281
R00010,1,31,447.56,14.43741935483871,1.0903225806451613,12.73,0.4106451612903226,4.3,Bronze,Nairobi,4.566499516182552,34.16129032258065,341
R00011,21,18,312.18,17.343333333333334,1.15,6.0200000000000005,0.3344444444444445,4.0,Gold,Cairo,2.882376822769377,28.0,308
R00012,22,23,328.94,14.301739130434783,1.117391304347826,16.92,0.7356521739130436,4.6,Gold,Cairo,3.9886236405473103,34.130434782608695,333
R00013,48,14,226.87,16.205000000000002,1.0357142857142858,8.48,0.6057142857142858,4.2,Bronze,Cairo,3.549928307901611,34.214285714285715,255
R00014,5,29,427.76,14.750344827586206,1.1379310344827587,8.9,0.30689655172413793,5.0,Bronze,Nairobi,4.590251833888518,30.689655172413794,351
R00015,7,26,405.48,15.595384615384615,1.1615384615384614,26.04,1.0015384615384615,5.0,Gold,Nairobi,3.762929365101011,30.076923076923077,347
R00016,22,20,308.93,15.4465,1.035,28.32,1.416,3.9,Gold,Nairobi,3.9150984700875875,33.65,308
R00017,4,19,287.47,15.13,1.1368421052631579,12.71,0.6689473684210526,4.2,Gold,Lagos,3.612265637568695,35.421052631578945,300
R00018,13,24,319.6,13.316666666666668,1.0458333333333334,15.01,0.6254166666666666,4.4,Gold,Nairobi,4.4458700805777545,32.083333333333336,342
R00019,5,26,461.88,17.764615384615386,1.1961538461538461,6.22,0.23923076923076922,4.5,Bronze,Lagos,3.794547545113514,33.19230769230769,347
R00020,4,19,318.11,16.742631578947368,1.1210526315789473,11.58,0.6094736842105263,4.9,Bronze,Cairo,4.257019169945927,27.157894736842106,355
R00021,11,15,200.27,13.351333333333335,1.0266666666666666,4.0,0.26666666666666666,4.9,Bronze,Cairo,3.711387626474681,38.46666666666667,341
R00022,15,18,259.07,14.392777777777777,1.1055555555555554,5.329999999999999,0.29611111111111105,4.7,Bronze,Lagos,4.250049106140031,36.05555555555556,349
R00023,13,22,310.88,14.13090909090909,1.0863636363636362,9.03,0.4104545454545454,4.6,Bronze,Lagos,3.605768467440136,32.36363636363637,309
R00024,62,20,322.29,16.1145,1.105,13.65,0.6825,4.4,Gold,Nairobi,3.9318632594354037,26.5,279
R00025,3,13,206.02,15.84769230769231,1.1153846153846154,2.4,0.1846153846153846,3.8,Bronze,Cairo,3.764006567527495,32.46153846153846,356
R00026,29,18,282.12,15.673333333333334,1.1,5.1,0.2833333333333333,4.7,Bronze,Lagos,4.220929689120608,29.27777777777778,326
R00027,7,24,413.08,17.211666666666666,1.2083333333333333,14.44,0.6016666666666667,4.7,Silver,Cairo,4.334406317397976,28.333333333333332,355
R00028,58,18,283.57,15.753888888888888,1.1944444444444444,5.130000000000001,0.28500000000000003,4.9,Silver,Cairo,4.401070060988082,33.166666666666664,304
R00029,7,14,234.43,16.745,1.2357142857142858,2.66,0.19,4.8,Bronze,Lagos,4.370487609183729,25.285714285714285,316
R00030,20,16,234.1,14.63125,1.0875,4.88,0.305,4.1,Bronze,Lagos,3.7291833619291648,34.625,331
R00031,15,25,419.52,16.7808,1.22,12.75,0.51,4.1,Bronze,Lagos,4.373535596578305,36.08,345
R00032,3,19,284.47,14.972105263157896,1.0473684210526315,10.39,0.5468421052631579,5.0,Bronze,Nairobi,4.843744586469259,38.73684210526316,345
R00033,6,22,345.74,15.715454545454547,1.1636363636363638,3.14,0.14272727272727273,4.6,Bronze,Cairo,3.526638045814082,37.13636363636363,354
R00034,9,22,325.36,14.789090909090909,1.1363636363636365,10.28,0.46727272727272723,3.1,Silver,Nairobi,4.4862167633360945,31.545454545454547,322
R00035,6,11,181.79,16.526363636363637,1.1363636363636365,6.140000000000001,0.5581818181818182,4.7,Bronze,Nairobi,3.7777511297137054,34.72727272727273,327
R00036,14,24,339.99,14.16625,1.125,13.2,0.5499999999999999,3.9,Bronze,Lagos,3.897960713249688,32.416666666666664,350
R00037,30,19,285.91,15.047894736842107,1.1684210526315788,15.59,0.8205263157894737,3.9,Gold,Nairobi,4.066904504711238,32.31578947368421,332
R00038,22,18,237.01,13.167222222222222,1.1,6.67,0.3705555555555555,5.0,Silver,Nairobi,4.310459167718407,30.833333333333332,315
R00039,7,14,172.69,12.334999999999999,1.0071428571428571,6.24,0.44571428571428573,4.5,Bronze,Nairobi,4.503452188493413,31.071428571428573,346
R00040,10,15,195.9,13.06,1.06,4.66,0.3106666666666667,3.9,Silver,Cairo,3.5806268101993237,31.733333333333334,319
R00041,1,17,245.22,14.42470588235294,1.0999999999999999,3.3,0.1941176470588235,3.7,Bronze,Lagos,4.720449496904604,28.0,323
R00042,21,17,227.24,13.367058823529412,1.1529411764705884,5.96,0.35058823529411764,3.9,Bronze,Lagos,4.1733592890671085,35.23529411764706,336
R00043,3,21,354.73,16.89190476190476,1.119047619047619,6.9799999999999995,0.33238095238095233,3.7,Bronze,Nairobi,4.072746746962058,39.476190476190474,352
R00044,62,18,310.09000000000003,17.227222222222224,1.2277777777777779,1.23,0.06833333333333333,4.7,Bronze,Cairo,2.9839825003536506,31.666666666666668,299
R00045,30,18,299.44,16.635555555555555,1.1888888888888889,1.74,0.09666666666666666,4.8,Bronze,Nairobi,3.9668165260040076,36.388888888888886,335
R00046,10,29,426.03,14.690689655172413,1.0862068965517242,14.36,0.49517241379310345,4.7,Bronze,Cairo,4.269415905529531,29.724137931034484,349
R00047,8,21,344.63,16.41095238095238,1.0904761904761904,15.11,0.7195238095238095,3.8999999999999995,Bronze,Nairobi,4.259089811417629,30.523809523809526,333
R00048,1,21,313.11,14.91,1.2714285714285714,11.78,0.5609523809523809,4.5,Bronze,Nairobi,3.731766609248807,30.857142857142858,354
R00049,4,18,267.75,14.875,1.1111111111111112,15.0,0.8333333333333334,4.7,Silver,Lagos,4.590404189152363,24.444444444444443,346
R00050,97,13,207.6,15.96923076923077,1.2538461538461538,5.609999999999999,0.4315384615384615,5.0,Bronze,Lagos,4.493476877125807,35.23076923076923,246
R00051,17,22,303.25,13.784090909090908,1.0954545454545455,7.97,0.36227272727272725,4.3,Bronze,Nairobi,4.549378843637064,31.40909090909091,346
R00052,24,22,344.53,15.660454545454543,1.190909090909091,6.78,0.30818181818181817,4.7,Bronze,Nairobi,4.098667135120443,23.772727272727273,331
R00053,3,19,283.79,14.936315789473685,1.0842105263157895,6.36,0.33473684210526317,4.7,Bronze,Cairo,4.665698169905704,33.1578947368421,327
R00054,5,15,249.13,16.608666666666668,1.0666666666666667,5.13,0.34199999999999997,5.0,Silver,Nairobi,4.756826256432654,26.466666666666665,346
R00055,11,18,309.3,17.183333333333334,1.1333333333333333,6.07,0.33722222222222226,4.1,Bronze,Lagos,4.397766576081006,32.05555555555556,298
R00056,41,23,348.64,15.158260869565217,1.108695652173913,7.86,0.3417391304347826,5.0,Bronze,Cairo,3.8725506836929764,30.08695652173913,296
R00057,22,26,384.87,14.802692307692308,1.1115384615384616,11.72,0.4507692307692308,4.8,Bronze,Lagos,4.648624312680648,28.73076923076923,334
R00058,7,16,252.76,15.7975,1.1,11.12,0.695,5.0,Gold,Nairobi,4.11341399288067,28.6875,337
R00059,103,18,259.42,14.412222222222223,1.1055555555555554,6.15,0.3416666666666667,4.1,Bronze,Lagos,4.0519820850100965,33.22222222222222,260
R00060,8,19,271.8,14.305263157894737,1.105263157894737,2.52,0.13263157894736843,4.7,Bronze,Lagos,4.739574962129242,33.94736842105263,337
R00061,50,26,395.84000000000003,15.224615384615387,1.1653846153846155,8.36,0.3215384615384615,4.1,Bronze,Cairo,4.334009732678424,27.807692307692307,309
R00062,26,22,344.3,15.65,1.0863636363636362,8.52,0.38727272727272727,4.9,Silver,Cairo,3.562227925976286,32.40909090909091,322
R00063,3,18,284.54,15.80777777777778,1.1222222222222222,5.35,0.2972222222222222,3.5999999999999996,Bronze,Cairo,4.480834148696133,38.333333333333336,347
R00064,17,13,240.39,18.49153846153846,1.2923076923076924,3.52,0.27076923076923076,4.5,Silver,Lagos,5.064291311144389,27.46153846153846,313
R00065,8,18,315.37,17.520555555555557,1.1444444444444446,10.81,0.6005555555555556,4.7,Silver,Cairo,3.673420526517686,24.88888888888889,349
R00066,44,19,269.15,14.165789473684208,1.0947368421052632,10.16,0.5347368421052632,4.6,Bronze,Cairo,4.0594768639816055,27.526315789473685,284
R00067,44,15,189.86,12.657333333333334,1.0,22.38,1.492,4.6,Platinum,Lagos,4.678781861128933,31.733333333333334,309
R00068,5,26,386.43,14.862692307692308,1.1576923076923078,16.44,0.6323076923076923,4.2,Silver,Nairobi,4.000272823591736,32.15384615384615,328
R00069,2,25,331.09,13.243599999999999,1.064,11.59,0.4636,3.8,Bronze,Nairobi,4.983889836308637,30.16,357
R00070,18,18,296.24,16.45777777777778,1.2333333333333334,8.4,0.4666666666666667,5.0,Bronze,Nairobi,4.605825116856451,28.22222222222222,343
R00071,4,32,439.81,13.7440625,1.084375,2.55,0.0796875,4.1,Bronze,Cairo,4.160665094510605,35.53125,336
R00072,22,20,307.01,15.3505,1.115,13.29,0.6645,4.3,Gold,Cairo,4.069355678612584,31.25,330
R00073,13,16,294.43,18.401875,1.325,4.6000000000000005,0.28750000000000003,5.0,Silver,Nairobi,4.489095690698382,29.75,347
R00074,7,21,316.65,15.078571428571427,1.1047619047619048,9.08,0.43238095238095237,4.7,Silver,Nairobi,3.9701031927013677,27.428571428571427,354
R00075,17,21,346.8,16.514285714285716,1.2190476190476192,3.4699999999999998,0.16523809523809524,4.6,Bronze,Lagos,4.122258092841489,32.476190476190474,322
R00076,35,19,278.36,14.650526315789474,1.1789473684210525,6.29,0.3310526315789474,5.0,Bronze,Nairobi,4.402858670340401,31.68421052631579,331
R00077,25,13,226.78,17.444615384615386,1.2076923076923076,7.68,0.5907692307692307,4.3,Silver,Nairobi,3.801493842055654,29.692307692307693,338
R00078,1,19,327.38,17.230526315789472,1.2684210526315791,9.53,0.501578947368421,4.1,Bronze,Cairo,3.690782562445275,25.42105263157895,350
R00079,13,31,517.05,16.679032258064513,1.2129032258064516,15.69,0.5061290322580645,4.6,Silver,Cairo,4.025362029550362,38.12903225806452,338
R00080,74,20,326.02,16.301,1.175,3.8600000000000003,0.193,4.0,Silver,Nairobi,3.992578331437535,30.6,282
R00081,49,25,382.93,15.3172,1.14,11.309999999999999,0.45239999999999997,4.6,Bronze,Nairobi,4.346019939945968,33.72,289
R00082,1,21,370.72,17.653333333333336,1.2,8.7,0.41428571428571426,3.7,Silver,Nairobi,3.6954288261983974,28.142857142857142,323
R00083,20,17,286.36,16.84470588235294,1.1235294117647059,14.39,0.8464705882352942,5.0,Bronze,Lagos,4.6863560551419745,37.1764705882353,336
R00084,11,20,345.95,17.2975,1.1800000000000002,15.620000000000001,0.781,4.6,Gold,Nairobi,5.243072377265365,30.2,353
R00085,54,19,273.57,14.398421052631578,1.1631578947368422,13.05,0.6868421052631579,4.5,Silver,Lagos,4.4178101156491145,31.473684210526315,281
