user_id,recency,frequency,monetary,last_trip_time,rfm_score,segments
R00000,26,25,366.05,2025-04-02,11,Regular Commuters
R00001,6,14,180.53,2025-04-22,6,Occasional Riders
R00002,15,24,378.99,2025-04-13,12,High‑Value Loyalists
R00003,62,9,121.47,2025-02-25,3,At Risk Users
R00004,13,16,268.43,2025-04-15,6,Occasional Riders
R00005,3,19,274.42,2025-04-25,9,Regular Commuters
R00006,68,14,199.01,2025-02-19,3,At Risk Users
R00007,20,19,366.09000000000003,2025-04-08,8,Occasional Riders
R00008,7,19,272.18,2025-04-21,8,Occasional Riders
R00009,81,14,253.57,2025-02-06,4,At Risk Users
R00010,1,31,447.56,2025-04-27,15,High‑Value Loyalists
R00011,21,18,312.18,2025-04-07,7,Occasional Riders
R00012,22,23,328.94,2025-04-06,10,Regular Commuters
R00013,48,14,226.87,2025-03-11,3,At Risk Users
R00014,5,29,427.76,2025-04-23,15,High‑Value Loyalists
R00015,7,26,405.48,2025-04-21,14,High‑Value Loyalists
R00016,22,20,308.93,2025-04-06,8,Occasional Riders
R00017,4,19,287.47,2025-04-24,10,Regular Commuters
R00018,13,24,319.6,2025-04-15,10,Regular Commuters
R00019,5,26,461.88,2025-04-23,15,High‑Value Loyalists
R00020,4,19,318.11,2025-04-24,10,Regular Commuters
R00021,11,15,200.27,2025-04-17,5,At Risk Users
R00022,15,18,259.07,2025-04-13,7,Occasional Riders
R00023,13,22,310.88,2025-04-15,10,Regular Commuters
R00024,62,20,322.29,2025-02-25,7,Occasional Riders
R00025,3,13,206.02,2025-04-25,7,Occasional Riders
R00026,29,18,282.12,2025-03-30,6,Occasional Riders
R00027,7,24,413.08,2025-04-21,13,High‑Value Loyalists
R00028,58,18,283.57,2025-03-01,5,At Risk Users
R00029,7,14,234.43,2025-04-21,6,Occasional Riders
R00030,20,16,234.1,2025-04-08,4,At Risk Users
R00031,15,25,419.52,2025-04-13,13,High‑Value Loyalists
R00032,3,19,284.47,2025-04-25,9,Regular Commuters
R00033,6,22,345.74,2025-04-22,12,High‑Value Loyalists
